timestamp_s,frequency_hz,vin_dc_v,vout_dc_v,vin_ac_v,vout_ac_v,psrr_db,psrr_i32,status,error_code,error_source,severity
2.3,11.42,5.0,3.3,0.1,0.000565,-44.96,-45,False,0,OK,NORMAL
2.4,11.48,5.0,3.3,0.1,0.000138,-57.19,-57,False,0,OK,NORMAL
2.5,11.55,5.0,3.3,0.1,0.000215,-53.34,-53,False,0,OK,NORMAL
2.6,11.62,5.0,3.3,0.1,0.000539,-45.37,-45,False,0,OK,NORMAL
2.7,11.68,5.0,3.3,0.1,0.000311,-50.13,-50,False,0,OK,NORMAL
2.8,11.75,5.0,3.3,0.1,8.4e-05,-61.53,-62,False,0,OK,NORMAL
2.9,11.82,5.0,3.3,0.1,0.000142,-56.95,-57,False,0,OK,NORMAL
3.0,11.89,5.0,3.3,0.1,6.1e-05,-64.25,-64,False,0,OK,NORMAL
3.1,11.95,5.0,3.3,0.1,0.000167,-55.57,-56,False,0,OK,NORMAL
3.2,12.02,5.0,3.3,0.1,0.000208,-53.65,-54,False,0,OK,NORMAL
3.3,12.09,5.0,3.3,0.1,0.00028,-51.07,-51,False,0,OK,NORMAL
3.4,12.16,5.0,3.3,0.1,0.000227,-52.88,-53,False,0,OK,NORMAL
3.5,12.23,5.0,3.3,0.1,0.000167,-55.53,-56,False,0,OK,NORMAL
3.6,12.3,5.0,3.3,0.1,0.000164,-55.69,-56,False,0,OK,NORMAL
3.7,12.38,5.0,3.3,0.1,0.000187,-54.57,-55,False,0,OK,NORMAL
3.8,12.45,5.0,3.3,0.1,0.000241,-52.37,-52,False,0,OK,NORMAL
3.9,12.52,5.0,3.3,0.1,9.6e-05,-60.34,-60,False,0,OK,NORMAL
4.0,12.59,5.0,3.3,0.1,0.000237,-52.5,-52,False,0,OK,NORMAL
4.1,12.66,5.0,3.3,0.1,0.000236,-52.54,-53,False,0,OK,NORMAL
4.2,12.74,5.0,3.3,0.1,0.000395,-48.07,-48,False,0,OK,NORMAL
4.3,12.81,5.0,3.3,0.1,8.9e-05,-61.05,-61,False,0,OK,NORMAL
4.4,12.88,5.0,3.3,0.1,0.000131,-57.68,-58,False,0,OK,NORMAL
4.5,12.96,5.0,3.3,0.1,0.000273,-51.27,-51,False,0,OK,NORMAL
4.6,13.03,5.0,3.3,0.1,5.7e-05,-64.84,-65,False,0,OK,NORMAL
4.7,13.11,5.0,3.3,0.1,8.7e-05,-61.17,-61,False,0,OK,NORMAL
4.8,13.18,5.0,3.3,0.1,0.000286,-50.88,-51,False,0,OK,NORMAL
4.9,13.26,5.0,3.3,0.1,0.000105,-59.55,-60,False,0,OK,NORMAL
5.0,13.34,5.0,3.3,0.1,0.000147,-56.63,-57,False,0,OK,NORMAL
5.1,13.41,5.0,3.3,0.1,0.00029,-50.75,-51,False,0,OK,NORMAL
5.2,13.49,5.0,3.3,0.1,9.3e-05,-60.66,-61,False,0,OK,NORMAL
5.3,13.57,5.0,3.3,0.1,0.000327,-49.7,-50,False,0,OK,NORMAL
5.4,13.65,5.0,3.3,0.1,0.000547,-45.24,-45,False,0,OK,NORMAL
5.5,13.73,5.0,3.3,0.1,0.000209,-53.6,-54,False,0,OK,NORMAL
5.6,13.81,5.0,3.3,0.1,0.000397,-48.02,-48,False,0,OK,NORMAL
5.7,13.89,5.0,3.3,0.1,0.00018,-54.9,-55,False,0,OK,NORMAL
5.8,13.97,5.0,3.3,0.1,0.000133,-57.54,-58,False,0,OK,NORMAL
5.9,14.05,5.0,3.3,0.1,0.000911,-40.81,-41,False,0,OK,NORMAL
6.0,14.13,5.0,3.3,0.1,4.8e-05,-66.29,-66,False,0,OK,NORMAL
6.1,14.21,5.0,3.3,0.1,0.000192,-54.36,-54,False,0,OK,NORMAL
6.2,14.29,5.0,3.3,0.1,8.8e-05,-61.06,-61,False,0,OK,NORMAL
6.3,14.37,5.0,3.3,0.1,0.00026,-51.72,-52,False,0,OK,NORMAL
6.4,14.46,5.0,3.3,0.1,0.000715,-42.92,-43,False,0,OK,NORMAL
6.5,14.54,5.0,3.3,0.1,0.000274,-51.23,-51,False,0,OK,NORMAL
6.6,14.62,5.0,3.3,0.1,0.000269,-51.42,-51,False,0,OK,NORMAL
6.7,14.71,5.0,3.3,0.1,0.000284,-50.94,-51,False,0,OK,NORMAL
6.8,14.79,5.0,3.3,0.1,0.000129,-57.76,-58,False,0,OK,NORMAL
6.9,14.88,5.0,3.3,0.1,0.00021,-53.54,-54,False,0,OK,NORMAL
7.0,14.97,5.0,3.3,0.1,6.9e-05,-63.22,-63,False,0,OK,NORMAL
7.1,15.05,5.0,3.3,0.1,8.9e-05,-61.03,-61,False,0,OK,NORMAL
7.2,15.14,5.0,3.3,0.1,0.000244,-52.24,-52,False,0,OK,NORMAL
7.3,15.23,5.0,3.3,0.1,0.000151,-56.41,-56,False,0,OK,NORMAL
7.4,15.31,5.0,3.3,0.1,9.7e-05,-60.25,-60,False,0,OK,NORMAL
7.5,15.4,5.0,3.3,0.1,0.000384,-48.31,-48,False,0,OK,NORMAL
7.6,15.49,5.0,3.3,0.1,0.000248,-52.12,-52,False,0,OK,NORMAL
7.7,15.58,5.0,3.3,0.1,0.000109,-59.24,-59,False,0,OK,NORMAL
7.8,15.67,5.0,3.3,0.1,0.000269,-51.39,-51,False,0,OK,NORMAL
7.9,15.76,5.0,3.3,0.1,8.6e-05,-61.35,-61,False,0,OK,NORMAL
8.0,15.85,5.0,3.3,0.1,0.000158,-56.03,-56,False,0,OK,NORMAL
8.1,15.94,5.0,3.3,0.1,0.000154,-56.26,-56,False,0,OK,NORMAL
8.2,16.04,5.0,3.3,0.1,0.000293,-50.65,-51,False,0,OK,NORMAL
8.3,16.13,5.0,3.3,0.1,0.000148,-56.59,-57,False,0,OK,NORMAL
8.4,16.22,5.0,3.3,0.1,0.000132,-57.62,-58,False,0,OK,NORMAL
8.5,16.32,5.0,3.3,0.1,0.000423,-47.48,-47,False,0,OK,NORMAL
8.6,16.41,5.0,3.3,0.1,0.000311,-50.15,-50,False,0,OK,NORMAL
8.7,16.5,5.0,3.3,0.1,0.000266,-51.5,-52,False,0,OK,NORMAL
8.8,16.6,5.0,3.3,0.1,0.000133,-57.55,-58,False,0,OK,NORMAL
8.9,16.7,5.0,3.3,0.1,0.000602,-44.4,-44,False,0,OK,NORMAL
9.0,16.79,5.0,3.3,0.1,0.000122,-58.24,-58,False,0,OK,NORMAL
9.1,16.89,5.0,3.3,0.1,0.000524,-45.61,-46,False,0,OK,NORMAL
9.2,16.99,5.0,3.3,0.1,0.000497,-46.07,-46,False,0,OK,NORMAL
9.3,17.09,5.0,3.3,0.1,6.3e-05,-64.05,-64,False,0,OK,NORMAL
9.4,17.18,5.0,3.3,0.1,3.8e-05,-68.39,-68,False,0,OK,NORMAL
9.5,17.28,5.0,3.3,0.1,0.000198,-54.06,-54,False,0,OK,NORMAL
9.6,17.38,5.0,3.3,0.1,0.000537,-45.4,-45,False,0,OK,NORMAL
9.7,17.48,5.0,3.3,0.1,0.00059,-44.59,-45,False,0,OK,NORMAL
9.8,17.58,5.0,3.3,0.1,0.000114,-58.85,-59,False,0,OK,NORMAL
9.9,17.69,5.0,3.3,0.1,0.000107,-59.43,-59,False,0,OK,NORMAL
10.0,17.79,5.0,3.3,0.1,0.00017,-55.4,-55,False,0,OK,NORMAL
10.1,17.89,5.0,3.3,0.1,0.00037,-48.64,-49,False,0,OK,NORMAL
10.2,17.99,5.0,3.3,0.1,0.000185,-54.64,-55,False,0,OK,NORMAL
10.3,18.1,5.0,3.3,0.1,0.000119,-58.5,-58,False,0,OK,NORMAL
10.4,18.2,5.0,3.3,0.1,0.000803,-41.9,-42,False,0,OK,NORMAL
10.5,18.31,5.0,3.3,0.1,7.3e-05,-62.72,-63,False,0,OK,NORMAL
10.6,18.41,5.0,3.3,0.1,9.5e-05,-60.41,-60,False,0,OK,NORMAL
10.7,18.52,5.0,3.3,0.1,0.000253,-51.93,-52,False,0,OK,NORMAL
10.8,18.63,5.0,3.3,0.1,2.6e-05,-71.62,-72,False,0,OK,NORMAL
10.9,18.73,5.0,3.3,0.1,0.000227,-52.88,-53,False,0,OK,NORMAL
11.0,18.84,5.0,3.3,0.1,0.0001,-59.97,-60,False,0,OK,NORMAL
11.1,18.95,5.0,3.3,0.1,0.000155,-56.21,-56,False,0,OK,NORMAL
11.2,19.06,5.0,3.3,0.1,0.000171,-55.35,-55,False,0,OK,NORMAL
11.3,19.17,5.0,3.3,0.1,7e-05,-63.13,-63,False,0,OK,NORMAL
11.4,19.28,5.0,3.3,0.1,0.000345,-49.23,-49,False,0,OK,NORMAL
11.5,19.39,5.0,3.3,0.1,0.000234,-52.6,-53,False,0,OK,NORMAL
11.6,19.5,5.0,3.3,0.1,0.000119,-58.52,-59,False,0,OK,NORMAL
11.7,19.62,5.0,3.3,0.1,0.00015,-56.45,-56,False,0,OK,NORMAL
11.8,19.73,5.0,3.3,0.1,8.1e-05,-61.88,-62,False,0,OK,NORMAL
11.9,19.84,5.0,3.3,0.1,0.00037,-48.64,-49,False,0,OK,NORMAL
12.0,19.96,5.0,3.3,0.1,0.000141,-57.0,-57,False,0,OK,NORMAL
12.1,20.07,5.0,3.3,0.1,6.9e-05,-63.27,-63,False,0,OK,NORMAL
12.2,20.19,5.0,3.3,0.1,0.000354,-49.03,-49,False,0,OK,NORMAL
12.3,20.31,5.0,3.3,0.1,4.8e-05,-66.38,-66,False,0,OK,NORMAL
12.4,20.42,5.0,3.3,0.1,6e-05,-64.43,-64,False,0,OK,NORMAL
12.5,20.54,5.0,3.3,0.1,0.000297,-50.54,-51,False,0,OK,NORMAL
12.6,20.66,5.0,3.3,0.1,0.000149,-56.54,-57,False,0,OK,NORMAL
12.7,20.78,5.0,3.3,0.1,0.000106,-59.51,-60,False,0,OK,NORMAL
12.8,20.9,5.0,3.3,0.1,0.000539,-45.37,-45,False,0,OK,NORMAL
12.9,21.02,5.0,3.3,0.1,0.000248,-52.11,-52,False,0,OK,NORMAL
13.0,21.14,5.0,3.3,0.1,0.000247,-52.14,-52,False,0,OK,NORMAL
13.1,21.26,5.0,3.3,0.1,6e-06,-83.83,-84,False,0,OK,NORMAL
13.2,21.39,5.0,3.3,0.1,0.00029,-50.75,-51,False,0,OK,NORMAL
13.3,21.51,5.0,3.3,0.1,0.00017,-55.4,-55,False,0,OK,NORMAL
13.4,21.64,5.0,3.3,0.1,0.000141,-57.03,-57,False,0,OK,NORMAL
13.5,21.76,5.0,3.3,0.1,6.1e-05,-64.3,-64,False,0,OK,NORMAL
13.6,21.89,5.0,3.3,0.1,0.000312,-50.12,-50,False,0,OK,NORMAL
13.7,22.01,5.0,3.3,0.1,4.8e-05,-66.46,-66,False,0,OK,NORMAL
13.8,22.14,5.0,3.3,0.1,4.5e-05,-66.87,-67,False,0,OK,NORMAL
13.9,22.27,5.0,3.3,0.1,0.000249,-52.06,-52,False,0,OK,NORMAL
14.0,22.4,5.0,3.3,0.1,0.000397,-48.03,-48,False,0,OK,NORMAL
14.1,22.53,5.0,3.3,0.1,0.000404,-47.88,-48,False,0,OK,NORMAL
14.2,22.66,5.0,3.3,0.1,0.000506,-45.91,-46,False,0,OK,NORMAL
14.3,22.79,5.0,3.3,0.1,0.000363,-48.8,-49,False,0,OK,NORMAL
14.4,22.92,5.0,3.3,0.1,0.00021,-53.57,-54,False,0,OK,NORMAL
14.5,23.05,5.0,3.3,0.1,0.000101,-59.92,-60,False,0,OK,NORMAL
14.6,23.18,5.0,3.3,0.1,0.000373,-48.57,-49,False,0,OK,NORMAL
14.7,23.32,5.0,3.3,0.1,0.000251,-52.01,-52,False,0,OK,NORMAL
14.8,23.45,5.0,3.3,0.1,0.000147,-56.66,-57,False,0,OK,NORMAL
14.9,23.59,5.0,3.3,0.1,0.000115,-58.78,-59,False,0,OK,NORMAL
15.0,23.72,5.0,3.3,0.1,0.000258,-51.78,-52,False,0,OK,NORMAL
15.1,23.86,5.0,3.3,0.1,0.00011,-59.2,-59,False,0,OK,NORMAL
15.2,24.0,5.0,3.3,0.1,0.000213,-53.43,-53,False,0,OK,NORMAL
15.3,24.14,5.0,3.3,0.1,4.5e-05,-66.95,-67,False,0,OK,NORMAL
15.4,24.28,5.0,3.3,0.1,0.000301,-50.41,-50,False,0,OK,NORMAL
15.5,24.42,5.0,3.3,0.1,0.001378,-37.21,-37,False,0,OK,NORMAL
15.6,24.56,5.0,3.3,0.1,0.000367,-48.72,-49,False,0,OK,NORMAL
15.7,24.7,5.0,3.3,0.1,0.000353,-49.05,-49,False,0,OK,NORMAL
15.8,24.84,5.0,3.3,0.1,9.2e-05,-60.74,-61,False,0,OK,NORMAL
15.9,24.99,5.0,3.3,0.1,0.000214,-53.38,-53,False,0,OK,NORMAL
16.0,25.13,5.0,3.3,0.1,0.000465,-46.65,-47,False,0,OK,NORMAL
16.1,25.28,5.0,3.3,0.1,0.000165,-55.67,-56,False,0,OK,NORMAL
16.2,25.42,5.0,3.3,0.1,8e-05,-61.95,-62,False,0,OK,NORMAL
16.3,25.57,5.0,3.3,0.1,0.000586,-44.64,-45,False,0,OK,NORMAL
16.4,25.72,5.0,3.3,0.1,0.000196,-54.16,-54,False,0,OK,NORMAL
16.5,25.86,5.0,3.3,0.1,6.7e-05,-63.5,-64,False,0,OK,NORMAL
16.6,26.01,5.0,3.3,0.1,0.001837,-34.72,-35,True,1001,PSRR_WARNING_BelowThreshold,WARNING
16.7,26.16,5.0,3.3,0.1,0.000127,-57.93,-58,False,0,OK,NORMAL
16.8,26.32,5.0,3.3,0.1,0.000682,-43.33,-43,False,0,OK,NORMAL
16.9,26.47,5.0,3.3,0.1,0.000262,-51.64,-52,False,0,OK,NORMAL
17.0,26.62,5.0,3.3,0.1,0.000162,-55.83,-56,False,0,OK,NORMAL
17.1,26.77,5.0,3.3,0.1,0.00042,-47.53,-48,False,0,OK,NORMAL
17.2,26.93,5.0,3.3,0.1,0.000286,-50.88,-51,False,0,OK,NORMAL
17.3,27.08,5.0,3.3,0.1,0.00013,-57.7,-58,False,0,OK,NORMAL
17.4,27.24,5.0,3.3,0.1,0.000392,-48.13,-48,False,0,OK,NORMAL
17.5,27.4,5.0,3.3,0.1,0.000124,-58.16,-58,False,0,OK,NORMAL
17.6,27.56,5.0,3.3,0.1,0.000128,-57.88,-58,False,0,OK,NORMAL
17.7,27.72,5.0,3.3,0.1,0.000337,-49.44,-49,False,0,OK,NORMAL
17.8,27.88,5.0,3.3,0.1,0.000607,-44.33,-44,False,0,OK,NORMAL
17.9,28.04,5.0,3.3,0.1,0.000174,-55.19,-55,False,0,OK,NORMAL
18.0,28.2,5.0,3.3,0.1,0.000101,-59.89,-60,False,0,OK,NORMAL
18.1,28.36,5.0,3.3,0.1,0.000201,-53.92,-54,False,0,OK,NORMAL
18.2,28.53,5.0,3.3,0.1,0.000279,-51.08,-51,False,0,OK,NORMAL
18.3,28.69,5.0,3.3,0.1,0.000144,-56.86,-57,False,0,OK,NORMAL
18.4,28.86,5.0,3.3,0.1,0.000176,-55.11,-55,False,0,OK,NORMAL
18.5,29.02,5.0,3.3,0.1,0.000192,-54.33,-54,False,0,OK,NORMAL
18.6,29.19,5.0,3.3,0.1,0.000399,-47.98,-48,False,0,OK,NORMAL
